parsley,1,parsley,1,1
tomato,2,tomato,2,1
bay_leaf,3,bay_leaf,4,1
garlic,4,garlic,3,1
onion,5,onion,5,1
carrot,6,carrot,11,1
sweet_pepper,7,sweet_pepper,6,1
thyme,8,thyme,8,1
spring_onion,9,spring_onion,18,1
lemon,10,lemon,17,1
peppercorn,11,peppercorn,10,1
chilli,12,chilli,13,1
sherry,13,sherry,9,1
white,14,white,23,1
red_pepper,15,red_pepper,12,1
saffron,16,saffron,15,1
potato,17,potato,7,1
white_wine,18,white_wine,19,1
almond,19,almond,20,1
coriander_seed,20,coriander_seed,33,1
vinegar,21,vinegar,26,1
olive_oil,22,olive_oil,16,1
cinnamon,23,cinnamon,21,1
egg,24,egg,14,1
rice,25,rice,32,1
bread,26,bread,22,1
chicken,27,chicken,30,1
ham,28,ham,25,1
cumin_seed,32,cumin_seed,31,1
flour,36,flour,28,1
 ,37,sunflower_oil,24,1
 ,37,shrimp,27,1
 ,37,sausage,29,1
 ,37,green_pepper,34,1
 ,37,mushroom,35,1
 ,37,sugar,36,1
orange,29, ,37,1
chicken_stock,30, ,37,1
celery,31, ,37,1
pork,33, ,37,1
mint,34, ,37,1
rosemary,35, ,37,1
