cuisine, recipes, ingredients, cookbooks, id
irish	3343	1744	352	372
mexican	10834	2899	701	484
chinese	10372	2619	1022	156
german	1395	973	175	276
japanese	3875	1805	594	392
moroccan	2384	1216	84	504
spanish	8190	2665	617	724
polish	200	337	64	616
caribbean	2017	1433	287	192
vietnamese	1936	1111	120	704
indian	12726	2585	1163	356
brazilian	671	607	27	76
australian	4291	2254	358	36
pakistani	211	212	13	586
portugese	1222	815	64	620
french	37216	4895	1569	250
russian	739	644	107	643
thai	4010	1753	394	764
south-american	4698	2092	171	170
south-american	4698	2092	171	218
south-american	4698	2092	171	604
south-american	4698	2092	171	152
south-american	4698	2092	171	32
south-american	4698	2092	171	858
south-american	4698	2092	171	600
south-american	4698	2092	171	76
greek	3752	1461	287	300
jamaican	86	195	6	388
african	662	585	230	12
african	662	585	230	478
african	662	585	230	324
african	662	585	230	266
african	662	585	230	728
african	662	585	230	434
african	662	585	230	818
african	662	585	230	729
african	662	585	230	231
african	662	585	230	706
african	662	585	230	404
african	662	585	230	508
african	662	585	230	894
african	662	585	230	716
african	662	585	230	710
african	662	585	230	516
african	662	585	230	24
african	662	585	230	566
african	662	585	230	288
african	662	585	230	562
african	662	585	230	148
african	662	585	230	288
african	662	585	230	504
african	662	585	230	788
italian	48880	4882	2730	380
