chilli,1,chilli,1,1
coriander_seed,2,coriander_seed,2,1
ginger,3,ginger,4,1
cumin_seed,4,cumin_seed,3,1
turmeric,5,turmeric,5,1
red_pepper,6,red_pepper,7,1
tomato,7,tomato,6,1
onion,8,onion,10,1
cardamon,9,cardamon,8,1
garlic,10,garlic,13,1
yogurt,11,yogurt,11,1
cinnamon,12,cinnamon,12,1
peppercorn,13,peppercorn,16,1
mustard_seed,14,mustard_seed,9,1
lime,15,lime,22,1
potato,16,potato,17,1
flour,17,flour,20,1
curry,19,curry,14,1
bay_leaf,20,bay_leaf,24,1
mint,21,mint,25,1
ghee,22,ghee,18,1
coconut,24,coconut,15,1
rice,25,rice,19,1
 ,27,fenugreek_seed,21,1
 ,27,tamarind,23,1
 ,27,chicken,26,1
paprika,18, ,27,1
red_onion,23, ,27,1
fennel_seed,26, ,27,1
