parsley,1,parsley,1,1
onion,2,onion,3,1
tomato,3,tomato,2,1
lemon,4,lemon,8,1
celery,5,celery,7,1
carrot,6,carrot,9,1
flour,7,flour,4,1
peppercorn,8,peppercorn,12,1
white_wine,9,white_wine,13,1
white,10,white,14,1
garlic,11,garlic,11,1
egg,12,egg,10,1
red_pepper,13,red_pepper,16,1
basil,14,basil,6,1
bay_leaf,15,bay_leaf,18,1
rosemary,16,rosemary,15,1
butter,17,butter,20,1
pasta,18,pasta,5,1
thyme,19,thyme,27,1
heavy_cream,20,heavy_cream,29,1
potato,21,potato,17,1
olive_oil,22,olive_oil,19,1
chilli,23,chilli,23,1
spring_onion,24,spring_onion,39,1
sage,25,sage,22,1
oregano,26,oregano,21,1
bread,27,bread,24,1
milk,28,milk,31,1
orange,29,orange,41,1
red_onion,30,red_onion,35,1
chicken_stock,31,chicken_stock,28,1
mushroom,32,mushroom,26,1
cinnamon,33,cinnamon,49,1
ricotta,34,ricotta,34,1
nutmeg,35,nutmeg,30,1
red_wine,36,red_wine,45,1
egg_yolk,37,egg_yolk,37,1
anchovy,38,anchovy,25,1
caper,39,caper,32,1
vinegar,40,vinegar,52,1
pine_nut,41,pine_nut,47,1
cheese,42,cheese,36,1
sugar,43,sugar,33,1
florence_fennel,44,florence_fennel,54,1
chicken,45,chicken,42,1
tomato_paste,46,tomato_paste,51,1
mint,47,mint,46,1
beef,48,beef,48,1
veal,49,veal,38,1
shallot,50,shallot,63,1
prosciutto,51,prosciutto,43,1
almond,52,almond,50,1
pork,53,pork,53,1
vegetable_oil,54,vegetable_oil,60,1
mozzarella,55,mozzarella,40,1
zucchini,56,zucchini,44,1
raisin,57,raisin,67,1
rice,58,rice,68,1
honey,59,honey,70,1
shrimp,60,shrimp,61,1
black_olive,61,black_olive,59,1
pea,62,pea,64,1
stock,63,stock,66,1
spinach,64,spinach,56,1
wine_vinegar,65,wine_vinegar,69,1
bean,66,bean,57,1
walnut,67,walnut,73,1
rocket,68,rocket,72,1
castor_sugar,70,castor_sugar,62,1
fennel_seed,71,fennel_seed,82,1
sweet_pepper,72,sweet_pepper,77,1
semolina,73,semolina,74,1
eggplant,74,eggplant,55,1
cherry tomato,78,cherry tomato,78,1
meat,79,meat,75,1
globe_artichoke,80,globe_artichoke,65,1
spaghetti,82,spaghetti,58,1
lamb,83,lamb,80,1
 ,84,dark_chocolate,71,1
 ,84,tuna,76,1
 ,84,asparagus,79,1
 ,84,squid,81,1
 ,84,mussel,83,1
chive,69, ,84,1
saffron,75, ,84,1
cream,76, ,84,1
plain_flour,77, ,84,1
mascarpone,81, ,84,1
